0 BCnumber Wetdep IRI550 INSTALL START END
exp_1 1.636058 1.784185 0.267039 0 0 0
exp_2 0.578489 2.217630 0.122106 0 0 0
exp_3 1.212292 0.429633 0.024868 0 0 0
exp_4 1.535519 2.591145 0.523869 0 0 0
exp_5 1.117133 2.894525 0.649409 0 0 0
exp_6 0.807001 1.882985 0.540874 0 0 0
exp_7 1.870089 1.524132 0.480194 0 0 0
exp_8 1.367678 2.288690 0.628134 0 0 0
exp_9 1.449503 0.856277 0.181642 0 0 0
exp_10 1.329460 2.718190 0.205342 0 0 0
exp_11 1.388762 2.398274 0.720855 0 0 0
exp_12 0.925944 1.914207 0.228375 0 0 0
exp_13 0.694984 2.324096 0.768124 0 0 0
exp_14 1.941638 0.744145 0.158086 0 0 0
exp_15 0.871433 1.301748 0.667137 0 0 0
exp_16 1.477705 1.630168 0.468662 0 0 0
exp_17 1.915147 0.976086 0.437372 0 0 0
exp_18 1.281627 2.775345 0.045808 0 0 0
exp_19 0.525138 1.438055 0.780758 0 0 0
exp_20 1.755909 0.707446 0.195981 0 0 0
exp_21 0.918657 1.402029 0.309192 0 0 0
exp_22 1.236060 2.104286 0.421077 0 0 0
exp_23 1.575785 0.307962 0.749568 0 0 0
exp_24 0.557007 2.010155 0.712144 0 0 0
exp_25 0.821611 1.054906 0.353005 0 0 0
exp_26 1.684539 1.700808 0.340548 0 0 0
exp_27 1.111205 2.086336 0.019493 0 0 0
exp_28 0.988382 0.589541 0.572123 0 0 0
exp_29 1.709217 1.229942 0.076769 0 0 0
exp_30 0.668929 1.078474 0.289810 0 0 0
exp_31 1.065055 2.540201 0.501460 0 0 0
exp_32 0.766582 0.808129 0.378280 0 0 0
exp_33 1.810502 2.842528 0.264269 0 0 0
exp_34 1.586675 2.949763 0.097303 0 0 0
exp_35 1.006962 1.585338 0.603825 0 0 0
exp_36 0.647759 2.509384 0.392479 0 0 0
exp_37 1.992926 0.522029 0.578533 0 0 0
exp_38 1.165778 0.465960 0.123671 0 0 0
exp_39 1.770965 1.158337 0.695828 0 0 0
